Name,Location,Height,Weight,Ranking,NationalRank,PositionRank,StateRank,State,Position,Year,School,Type,count,loc_inside_parens,location_name,Location_Clean,lat,long,School_Clean,School_City,college_lat,college_long,Date,disFromHS_m,miles_away,University
N'Keal Harry,"Chandler (Chandler, AZ)",6-4,210,94,117,15,1,AZ,WR,2016,Arizona State,Commit,1,"Chandler, AZ",Chandler,"Chandler High School, Chandler, AZ",33.3062031,-111.841185,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,16115.255589350338,10,Arizona State University
Cohl Cabral,"Los Osos (Rancho Cucamonga, CA)",6-5,273,92,223,21,32,CA,OT,2016,Arizona State,Commit,2,"Rancho Cucamonga, CA",Los Osos,"Los Osos High School, Rancho Cucamonga, CA",34.1033192,-117.575173,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,527349.9515309014,328,Arizona State University
Chase Lucas,"Chandler (Chandler, AZ)",5-11,161,92,227,9,4,AZ,RB,2016,Arizona State,Commit,2,"Chandler, AZ",Chandler,"Chandler High School, Chandler, AZ",33.3062031,-111.841185,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,16115.255589350338,10,Arizona State University
Maurice Chandler,"Northeastern Oklahoma A&M (Miami, OK)",6-1,190,91,13,1,1,OK,CB,2016,Arizona State,Commit,2,"Miami, OK",Northeastern Oklahoma A&M,"Northeastern Oklahoma A&M High School, Miami, OK",36.8746177,-94.877374,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,1598736.8912941022,993,Arizona State University
J'Marcus Rhodes,"Kilgore College (Kilgore, TX)",6-2,202,91,14,2,4,TX,CB,2016,Arizona State,Commit,2,"Kilgore, TX",Kilgore College,"Kilgore College High School, Kilgore, TX",32.3866806,-94.8754614,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,1598779.789100513,993,Arizona State University
Christian Hill,"Glendale C.C. (Glendale, AZ)",6-6,265,90,18,3,3,AZ,SDE,2016,Arizona State,Commit,1,"Glendale, AZ",Glendale C.C.,"Glendale C.C. High School, Glendale, AZ",33.5386858,-112.185994,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,26080.975152100415,16,Arizona State University
Robbie Robinson,"DeMatha Catholic (Hyattsville, MD)",5-8,160,89,NA,25,11,MD,ATH,2016,Arizona State,Commit,4,"Hyattsville, MD",DeMatha Catholic,"DeMatha Catholic High School, Hyattsville, MD",38.9529442,-76.9408647,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,3186997.644428015,1980,Arizona State University
Koron Crump,"Fort Scott C.C. (Fort Scott, KS)",6-3,220,89,29,3,6,KS,WDE,2016,Arizona State,Commit,4,"Fort Scott, KS",Fort Scott C.C.,"Fort Scott C.C. High School, Fort Scott, KS",37.8399791,-94.7082882,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,1633037.8053695266,1015,Arizona State University
Alex Losoya,"Orange Coast College (Costa Mesa, CA)",6-4,300,89,30,3,4,CA,OG,2016,Arizona State,Commit,4,"Costa Mesa, CA",Orange Coast College,"Orange Coast College High School, Costa Mesa, CA",33.6633386,-117.903317,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,554392.4773226003,344,Arizona State University
Jeremy Smith,"Fort Bend Marshall (Missouri City, TX)",6-2,179,87,NA,86,76,TX,WR,2016,Arizona State,Commit,2,"Missouri City, TX",Fort Bend Marshall,"Fort Bend Marshall High School, Missouri City, TX",29.6185669,-95.5377215,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,1612060.8253214476,1002,Arizona State University
Jared Bubak,"Lincoln Christian (Lincoln, NE)",6-4,235,87,NA,27,3,NE,TE,2016,Arizona State,Commit,2,"Lincoln, NE",Lincoln Christian,"Lincoln Christian High School, Lincoln, NE",40.8088861,-96.7077751,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,1579002.9044064875,981,Arizona State University
Dillon Sterling-Cole,"Westfield (Houston, TX)",6-3,200,86,NA,28,102,TX,DUAL,2016,Arizona State,Commit,5,"Houston, TX",Westfield,"Westfield High School, Houston, TX",29.7589382,-95.3676974,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,1622532.2192480443,1008,Arizona State University
Tre Turner,"Holy Cross (New Orleans, LA)",5-10,193,86,NA,47,41,LA,RB,2016,Arizona State,Commit,5,"New Orleans, LA",Holy Cross,"Holy Cross High School, New Orleans, LA",29.9559145,-90.0730259,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,2104460.189866438,1308,Arizona State University
Marshal Nathe,"Centennial (Peoria, AZ)",6-3,290,86,NA,37,7,AZ,OG,2016,Arizona State,Commit,5,"Peoria, AZ",Centennial,"Centennial High School, Peoria, AZ",33.5806115,-112.237294,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,32541.539722771497,20,Arizona State University
Kyle Williams,"Vista Murrieta (Murrieta, CA)",5-11,175,86,NA,62,76,CA,ATH,2016,Arizona State,Commit,5,"Murrieta, CA",Vista Murrieta,"Vista Murrieta High School, Murrieta, CA",33.560832,-117.210656,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,489976.7668406513,304,Arizona State University
Frank Darby,"Lincoln (Jersey City, NJ)",6-0,184,86,NA,132,24,NJ,WR,2016,Arizona State,Commit,5,"Jersey City, NJ",Lincoln,"Lincoln High School, Jersey City, NJ",40.7215682,-74.047455,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,3437201.4505069847,2136,Arizona State University
A.J. McCollum,"City College of San Francisco (San Francisco, CA)",6-2,280,84,129,1,30,CA,OC,2016,Arizona State,Commit,1,"San Francisco, CA",City College of San Francisco,"City College of San Francisco High School, San Francisco, CA",37.7792588,-122.4193286,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,1064460.9234284437,661,Arizona State University
Michael Sleep-Dalton,"City College of San Francisco (San Francisco, CA)",6-2,210,80,192,1,51,CA,P,2016,Arizona State,Commit,1,"San Francisco, CA",City College of San Francisco,"City College of San Francisco High School, San Francisco, CA",37.7792588,-122.4193286,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,1064460.9234284437,661,Arizona State University
Jack Smith,"Mountain Pointe (Phoenix, AZ)",6-1,185,78,NA,94,20,AZ,PRO,2016,Arizona State,Commit,1,"Phoenix, AZ",Mountain Pointe,"Mountain Pointe High School, Phoenix, AZ",33.4484367,-112.074141,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,12728.801745440704,8,Arizona State University
Dougladson Subtyl,"Victor Valley College (Victorville, CA)",6-4,240,89,27,2,3,CA,WDE,2016,Arizona State,Commit,4,"Victorville, CA",Victor Valley College,"Victor Valley College High School, Victorville, CA",34.5361067,-117.2911565,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2016-01-01,509517.06047063327,317,Arizona State University
Alex Perry,"Bishop Gorman (Las Vegas, NV)",5-11,178,93,177,24,5,NV,ATH,2017,Arizona State,Commit,1,"Las Vegas, NV",Bishop Gorman,"Bishop Gorman High School, Las Vegas, NV",36.1674263,-115.1484131,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2017-01-01,422712.204288531,263,Arizona State University
Eno Benjamin,"Wylie East (Wylie, TX)",5-9.5,204,92,193,12,26,TX,RB,2017,Arizona State,Commit,2,"Wylie, TX",Wylie East,"Wylie East High School, Wylie, TX",33.0151561,-96.5388038,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2017-01-01,1435115.9040551025,892,Arizona State University
Blake Barnett,"Palomar College (San Marcos, CA)",6-5,211,92,8,1,1,CA,PRO,2017,Arizona State,Commit,2,"San Marcos, CA",Palomar College,"Palomar College High School, San Marcos, CA",33.1352995,-117.1743395,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2017-01-01,488620.1903222728,304,Arizona State University
Tyler Johnson,"Highland (Gilbert, AZ)",6-4,245,91,NA,18,3,AZ,WR,2017,Arizona State,Commit,1,"Gilbert, AZ",Highland,"Highland High School, Gilbert, AZ",33.3527632,-111.789037,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2017-01-01,16199.596642067821,10,Arizona State University
KJ Jarrell,"Saguaro (Scottsdale, AZ)",6-1.5,175,88,NA,37,4,AZ,S,2017,Arizona State,Commit,2,"Scottsdale, AZ",Saguaro,"Saguaro High School, Scottsdale, AZ",33.4942189,-111.926018,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2017-01-01,7730.812496196578,5,Arizona State University
Kyle Soelle,"Saguaro (Scottsdale, AZ)",6-4,220,88,NA,16,5,AZ,TE,2017,Arizona State,Commit,2,"Scottsdale, AZ",Saguaro,"Saguaro High School, Scottsdale, AZ",33.4942189,-111.926018,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2017-01-01,7730.812496196578,5,Arizona State University
Evan Fields,"Midwest City (Oklahoma City, OK)",6-2,191,87,NA,42,10,OK,S,2017,Arizona State,Commit,2,"Oklahoma City, OK",Midwest City,"Midwest City High School, Oklahoma City, OK",35.4729886,-97.5170536,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2017-01-01,1343450.5425492488,835,Arizona State University
DJ Davidson,"Desert Ridge (Mesa, AZ)",6-5,300,87,NA,50,9,AZ,OT,2017,Arizona State,Commit,2,"Mesa, AZ",Desert Ridge,"Desert Ridge High School, Mesa, AZ",33.4151005,-111.831455,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2017-01-01,10162.812494846059,6,Arizona State University
Ty Thomas,"Lubbock-Cooper (Lubbock, TX)",5-11,195,86,NA,58,89,TX,S,2017,Arizona State,Commit,3,"Lubbock, TX",Lubbock-Cooper,"Lubbock-Cooper High School, Lubbock, TX",33.5855677,-101.8470215,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2017-01-01,937604.098461583,583,Arizona State University
Trelon Smith,"Cy Ridge (Houston, TX)",5-8,181,86,NA,15,96,TX,RB,2017,Arizona State,Commit,3,"Houston, TX",Cy Ridge,"Cy Ridge High School, Houston, TX",29.7589382,-95.3676974,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2017-01-01,1622532.2192480443,1008,Arizona State University
Ryan Kelley,"Basha (Chandler, AZ)",6-3,188,86,NA,30,10,AZ,PRO,2017,Arizona State,Commit,3,"Chandler, AZ",Basha,"Basha High School, Chandler, AZ",33.3062031,-111.841185,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2017-01-01,16115.255589350338,10,Arizona State University
Curtis Hodges,"Mountain View (Mesa, AZ)",6-7,198,85,NA,135,18,AZ,WR,2017,Arizona State,Commit,1,"Mesa, AZ",Mountain View,"Mountain View High School, Mesa, AZ",33.4151005,-111.831455,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2017-01-01,10162.812494846059,6,Arizona State University
Loren Mondy,"Lake Ridge (Mansfield, TX)",6-0,234,84,NA,45,142,TX,ILB,2017,Arizona State,Commit,3,"Mansfield, TX",Lake Ridge,"Lake Ridge High School, Mansfield, TX",32.563487,-97.1420308,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2017-01-01,1385133.6779779266,861,Arizona State University
Langston Frederick,"Clear Springs (League City, TX)",5-10,185,84,NA,126,150,TX,CB,2017,Arizona State,Commit,3,"League City, TX",Clear Springs,"Clear Springs High School, League City, TX",29.5074538,-95.0949303,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2017-01-01,1656623.1981864884,1029,Arizona State University
DeMonte King,"Long Beach City College (Long Beach, CA)",6-1,195,84,110,9,23,CA,S,2017,Arizona State,Commit,3,"Long Beach, CA",Long Beach City College,"Long Beach City College High School, Long Beach, CA",33.7690164,-118.191604,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2017-01-01,581422.384881736,361,Arizona State University
Mark Walton,"Cibola (Yuma, AZ)",6-5,225,83,NA,72,23,AZ,TE,2017,Arizona State,Commit,1,"Yuma, AZ",Cibola,"Cibola High School, Yuma, AZ",32.723268,-114.6179954,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2017-01-01,261893.78556717554,163,Arizona State University
Brandon Ruiz,"Williams Field (Gilbert, AZ)",5-10,165,80,NA,2,28,AZ,K,2017,Arizona State,Commit,2,"Gilbert, AZ",Williams Field,"Williams Field High School, Gilbert, AZ",33.3527632,-111.789037,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2017-01-01,16199.596642067821,10,Arizona State University
Shannon Forman,"Southern Lab (Baton Rouge, LA)",6-2,290,80,NA,109,80,LA,DT,2017,Arizona State,Commit,2,"Baton Rouge, LA",Southern Lab,"Southern Lab High School, Baton Rouge, LA",30.4494155,-91.1869659,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2017-01-01,1986445.5961415037,1234,Arizona State University
Corey Stephens,"Saguaro (Scottsdale, AZ)",6-2,290,79,NA,98,30,AZ,OG,2017,Arizona State,Commit,1,"Scottsdale, AZ",Saguaro,"Saguaro High School, Scottsdale, AZ",33.4942189,-111.926018,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2017-01-01,7730.812496196578,5,Arizona State University
Kobe Williams,"Long Beach City College (Long Beach, CA)",5-9,175,78,NA,32,66,CA,CB,2017,Arizona State,Commit,2,"Long Beach, CA",Long Beach City College,"Long Beach City College High School, Long Beach, CA",33.7690164,-118.191604,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2017-01-01,581422.384881736,361,Arizona State University
Darien Cornay,"Cerritos College (Norwalk, CA)",5-10,180,78,NA,33,67,CA,CB,2017,Arizona State,Commit,2,"Norwalk, CA",Cerritos College,"Cerritos College High School, Norwalk, CA",33.9092802,-118.0849169,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2017-01-01,572331.24517272,356,Arizona State University
Kyle Breed,"Ironwood Ridge (Tucson, AZ)",6-7,260,74,NA,275,47,AZ,OT,2017,Arizona State,Commit,1,"Tucson, AZ",Ironwood Ridge,"Ironwood Ridge High School, Tucson, AZ",32.2228765,-110.974847,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2017-01-01,161108.001096953,100,Arizona State University
Merlin Robertson,"Junipero Serra (Gardena, CA)",6-3,241,94,130,11,18,CA,OLB,2018,Arizona State,Commit,1,"Gardena, CA",Junipero Serra,"Junipero Serra High School, Gardena, CA",33.8815702,-118.2918113,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2018-01-01,591252.3162942668,367,Arizona State University
Aashari Crosswell,"Long Beach Poly (Long Beach, CA)",6-1,185,93,162,13,25,CA,S,2018,Arizona State,Commit,1,"Long Beach, CA",Long Beach Poly,"Long Beach Poly High School, Long Beach, CA",33.7690164,-118.191604,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2018-01-01,581422.384881736,361,Arizona State University
Jermayne Lole,"Long Beach Poly (Long Beach, CA)",6-2,270,90,NA,15,52,CA,ILB,2018,Arizona State,Commit,1,"Long Beach, CA",Long Beach Poly,"Long Beach Poly High School, Long Beach, CA",33.7690164,-118.191604,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2018-01-01,581422.384881736,361,Arizona State University
AJ Carter,"Many (Many, LA)",6-0,220,87,NA,32,24,LA,RB,2018,Arizona State,Commit,6,"Many, LA",Many,"Many High School, Many, LA",31.5683773,-93.4840608,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2018-01-01,1744341.2621567512,1084,Arizona State University
Geordon Porter,"Etiwanda (Rancho Cucamonga, CA)",6-2,180,87,NA,93,66,CA,WR,2018,Arizona State,Commit,6,"Rancho Cucamonga, CA",Etiwanda,"Etiwanda High School, Rancho Cucamonga, CA",34.1033192,-117.575173,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2018-01-01,527349.9515309014,328,Arizona State University
Reggie Hughes,"Calabasas (Calabasas, CA)",6-2,208,87,NA,40,73,CA,OLB,2018,Arizona State,Commit,6,"Calabasas, CA",Calabasas,"Calabasas High School, Calabasas, CA",34.1446643,-118.644097,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2018-01-01,625895.0898401389,389,Arizona State University
Ely Doyle,"Bishop Alemany (Mission Hills, CA)",6-0,188,87,NA,49,74,CA,S,2018,Arizona State,Commit,6,"Mission Hills, CA",Bishop Alemany,"Bishop Alemany High School, Mission Hills, CA",34.687584,-120.4390175,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2018-01-01,796788.791058835,495,Arizona State University
Jarrett Bell,"Norco (Norco, CA)",6-5,295,87,NA,26,79,CA,OG,2018,Arizona State,Commit,6,"Norco, CA",Norco,"Norco High School, Norco, CA",33.9323307,-117.5508901,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2018-01-01,523261.9692988823,325,Arizona State University
Dominique Harrison,"Blinn College (Brenham, TX)",6-0,185,87,39,5,3,TX,CB,2018,Arizona State,Commit,6,"Brenham, TX",Blinn College,"Blinn College High School, Brenham, TX",30.1668828,-96.3977442,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2018-01-01,1513940.6031210716,941,Arizona State University
Stanley Lambert,"Marshall (San Antonio, TX)",6-3,211,86,NA,65,95,TX,WR,2018,Arizona State,Commit,4,"San Antonio, TX",Marshall,"Marshall High School, San Antonio, TX",29.4246002,-98.4951405,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2018-01-01,1351819.4499832187,840,Arizona State University
Brock Sturges,"Allen (Allen, TX)",5-10,200,86,NA,41,97,TX,RB,2018,Arizona State,Commit,4,"Allen, TX",Allen,"Allen High School, Allen, TX",33.1031744,-96.6705503,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2018-01-01,1421882.7126501112,884,Arizona State University
Darien Butler,"Narbonne (Harbor City, CA)",5-11,215,86,NA,55,82,CA,OLB,2018,Arizona State,Commit,4,"Harbor City, CA",Narbonne,"Narbonne High School, Harbor City, CA",33.7911012,-118.3012604,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2018-01-01,591661.6954111536,368,Arizona State University
Ralph Frias,"Safford (Safford, AZ)",6-7,305,86,NA,75,16,AZ,OT,2018,Arizona State,Commit,4,"Safford, AZ",Safford,"Safford High School, Safford, AZ",32.8332254,-109.7131818,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2018-01-01,217930.18866504103,135,Arizona State University
Demetrious Flowers,"St. John Bosco (Bellflower, CA)",5-11,200,85,NA,65,133,CA,RB,2018,Arizona State,Commit,2,"Bellflower, CA",St. John Bosco,"St. John Bosco High School, Bellflower, CA",33.8825705,-118.1167679,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2018-01-01,575090.8052732663,357,Arizona State University
Michael Matus,"Katy (Katy, TX)",6-2,235,85,NA,50,126,TX,SDE,2018,Arizona State,Commit,2,"Katy, TX",Katy,"Katy High School, Katy, TX",29.7857853,-95.8243956,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2018-01-01,1579772.8838776315,982,Arizona State University
Terin Adams,"City College of San Francisco (San Francisco, CA)",6-0,190,83,125,16,25,CA,CB,2018,Arizona State,Commit,2,"San Francisco, CA",City College of San Francisco,"City College of San Francisco High School, San Francisco, CA",37.7792588,-122.4193286,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2018-01-01,1064460.9234284437,661,Arizona State University
Brandon Aiyuk,"Sierra College (Rocklin, CA)",6-1,195,83,137,10,30,CA,WR,2018,Arizona State,Commit,2,"Rocklin, CA",Sierra College,"Sierra College High School, Rocklin, CA",38.7907339,-121.2357828,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2018-01-01,1026213.8723814351,638,Arizona State University
Sione Veikoso,"Kailua (Kailua, HI)",6-6,295,82,NA,65,10,HI,OG,2018,Arizona State,Commit,2,"Kailua, HI",Kailua,"Kailua High School, Kailua, HI",19.641941,-155.996933,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2018-01-01,4609580.6221864335,2864,Arizona State University
Cam Phillips,"Clear Lake (Houston, TX)",6-2,180,82,NA,123,195,TX,S,2018,Arizona State,Commit,2,"Houston, TX",Clear Lake,"Clear Lake High School, Houston, TX",29.7589382,-95.3676974,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2018-01-01,1622532.2192480443,1008,Arizona State University
Spencer Lovell,"Rocky Mountain (Fort Collins, CO)",6-7,315,81,NA,77,8,CO,OG,2018,Arizona State,Commit,1,"Fort Collins, CO",Rocky Mountain,"Rocky Mountain High School, Fort Collins, CO",40.5871782,-105.0770113,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2018-01-01,1001664.7646350517,622,Arizona State University
Isaiah Floyd,"City College of San Francisco (San Francisco, CA)",5-7,185,80,215,11,53,CA,RB,2018,Arizona State,Commit,1,"San Francisco, CA",City College of San Francisco,"City College of San Francisco High School, San Francisco, CA",37.7792588,-122.4193286,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2018-01-01,1064460.9234284437,661,Arizona State University
Grant Miles,"Horizon (Scottsdale, AZ)",6-5,230,75,NA,136,41,AZ,TE,2018,Arizona State,Commit,1,"Scottsdale, AZ",Horizon,"Horizon High School, Scottsdale, AZ",33.4942189,-111.926018,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2018-01-01,7730.812496196578,5,Arizona State University
Jayden Daniels,"Cajon (San Bernardino, CA)",6-3,175,97,35,1,5,CA,DUAL,2019,Arizona State,Commit,1,"San Bernardino, CA",Cajon,"Cajon High School, San Bernardino, CA",34.8253019,-116.0833144,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2019-01-01,412504.08001709287,256,Arizona State University
Stephon Wright,"Cathedral (Los Angeles, CA)",6-3,260,91,NA,18,35,CA,SDE,2019,Arizona State,Commit,2,"Los Angeles, CA",Cathedral,"Cathedral High School, Los Angeles, CA",34.0536909,-118.242766,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2019-01-01,588093.3109784892,365,Arizona State University
Kejuan Markham,"Long Beach Poly (Long Beach, CA)",6-1,180,91,NA,21,37,CA,S,2019,Arizona State,Commit,2,"Long Beach, CA",Long Beach Poly,"Long Beach Poly High School, Long Beach, CA",33.7690164,-118.191604,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2019-01-01,581422.384881736,361,Arizona State University
Keon Markham,"Long Beach Poly (Long Beach, CA)",6-0,175,90,NA,45,55,CA,CB,2019,Arizona State,Commit,1,"Long Beach, CA",Long Beach Poly,"Long Beach Poly High School, Long Beach, CA",33.7690164,-118.191604,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2019-01-01,581422.384881736,361,Arizona State University
Jack Jones,"Moorpark College (Moorpark, CA)",5-11,170,89,15,4,3,CA,CB,2019,Arizona State,Commit,1,"Moorpark, CA",Moorpark College,"Moorpark College High School, Moorpark, CA",34.285558,-118.8820414,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2019-01-01,649330.6901057621,403,Arizona State University
Jordan Clark,"University Lab (Baton Rouge, LA)",5-11,168,88,NA,49,18,LA,CB,2019,Arizona State,Commit,2,"Baton Rouge, LA",University Lab,"University Lab High School, Baton Rouge, LA",30.4494155,-91.1869659,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2019-01-01,1986445.5961415037,1234,Arizona State University
Dohnovan West,"Bishop Alemany (Mission Hills, CA)",6-3,290,88,NA,7,77,CA,OT,2019,Arizona State,Commit,2,"Mission Hills, CA",Bishop Alemany,"Bishop Alemany High School, Mission Hills, CA",34.687584,-120.4390175,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2019-01-01,796788.791058835,495,Arizona State University
Nolan Matthews-Harris,"Reedy (Frisco, TX)",6-3.5,242,87,NA,29,74,TX,TE,2019,Arizona State,Commit,3,"Frisco, TX",Reedy,"Reedy High School, Frisco, TX",33.1505998,-96.8238183,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2019-01-01,1407140.4042218921,874,Arizona State University
LaDarius Henderson,"Waxahachie (Waxahachie, TX)",6-4,270,87,NA,50,87,TX,OT,2019,Arizona State,Commit,3,"Waxahachie, TX",Waxahachie,"Waxahachie High School, Waxahachie, TX",32.3944908,-96.8439365,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2019-01-01,1415578.7483940588,880,Arizona State University
Amiri Johnson,"Diamond Ranch (Pomona, CA)",6-6,235,86,NA,61,97,CA,SDE,2019,Arizona State,Commit,3,"Pomona, CA",Diamond Ranch,"Diamond Ranch High School, Pomona, CA",34.0553813,-117.7517496,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2019-01-01,542978.9860834169,337,Arizona State University
Willie Harts,"Pittsburg (Pittsburg, CA)",6-0,170,86,NA,80,101,CA,ATH,2019,Arizona State,Commit,3,"Pittsburg, CA",Pittsburg,"Pittsburg High School, Pittsburg, CA",38.0181745,-121.8901232,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2019-01-01,1033616.2412996541,642,Arizona State University
Connor Soelle,"Saguaro (Scottsdale, AZ)",6-1,195,86,NA,78,15,AZ,ATH,2019,Arizona State,Commit,3,"Scottsdale, AZ",Saguaro,"Saguaro High School, Scottsdale, AZ",33.4942189,-111.926018,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2019-01-01,7730.812496196578,5,Arizona State University
Jordan Kerley,"McNeil (Austin, TX)",6-1,190,85,NA,125,139,TX,WR,2019,Arizona State,Commit,4,"Austin, TX",McNeil,"McNeil High School, Austin, TX",30.2711286,-97.7436995,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2019-01-01,1387151.907412127,862,Arizona State University
Joey Yellen,"Mission Viejo (Mission Viejo, CA)",6-2.5,211,85,NA,29,117,CA,PRO,2019,Arizona State,Commit,4,"Mission Viejo, CA",Mission Viejo,"Mission Viejo High School, Mission Viejo, CA",33.5965685,-117.659405,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2019-01-01,531663.5760269067,330,Arizona State University
Ethan Long,"West Linn (West Linn, OR)",6-2,212,85,NA,34,5,OR,PRO,2019,Arizona State,Commit,4,"West Linn, OR",West Linn,"West Linn High School, West Linn, OR",45.3656761,-122.612314,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2019-01-01,1610040.5079629493,1000,Arizona State University
Brandon Pierce,"College of the Canyons (Valencia, CA)",5-11,175,85,94,12,24,CA,WR,2019,Arizona State,Commit,4,"Valencia, CA",College of the Canyons,"College of the Canyons High School, Valencia, CA",34.4269711,-118.604298,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2019-01-01,626017.4016720365,389,Arizona State University
Alijah Bates,"Doherty (Colorado Springs, CO)",6-8,235,84,NA,113,13,CO,OT,2019,Arizona State,Commit,2,"Colorado Springs, CO",Doherty,"Doherty High School, Colorado Springs, CO",38.8339578,-104.825348,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2019-01-01,877116.7307397437,545,Arizona State University
Elijah Juarez,"Long Beach Poly (Long Beach, CA)",6-2,215,84,NA,107,155,CA,OLB,2019,Arizona State,Commit,2,"Long Beach, CA",Long Beach Poly,"Long Beach Poly High School, Long Beach, CA",33.7690164,-118.191604,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2019-01-01,581422.384881736,361,Arizona State University
Ricky Pearsall,"Corona del Sol (Tempe, AZ)",6-1.5,195,83,NA,182,20,AZ,WR,2019,Arizona State,Commit,3,"Tempe, AZ",Corona del Sol,"Corona del Sol High School, Tempe, AZ",33.4255117,-111.940016,University of arizona-state,"Tempe, AZ",33.4255117,-111.940016,2019-01-01,0,0,Arizona State University
